gender,age,experience,education,interview_score,outcome,prediction
male,34,8,Master,85,1,1
female,28,4,Bachelor,92,0,1
male,45,15,PhD,78,1,1
female,31,6,Master,88,0,0
male,22,1,Bachelor,70,0,0
female,39,12,PhD,95,1,1
male,29,5,Bachelor,82,1,1
female,25,2,Master,75,0,0
male,52,20,Master,80,1,1
female,42,14,Bachelor,89,0,1
male,36,10,PhD,91,1,1
female,27,3,Bachelor,84,0,0
male,41,12,Master,87,1,1
female,33,7,Master,90,0,0
male,24,2,Bachelor,72,0,0
female,48,18,PhD,93,1,1
male,30,6,Bachelor,81,1,1
female,26,4,Master,77,0,0
male,38,11,Master,86,1,1
female,35,9,Bachelor,83,0,1
